input,issuer,verdict,confidence,reason,webfinger_status,webfinger_implemented,webfinger_issuer,discovery_status,discovery_implemented,discovery_federation_fields,federation_status,federation_implemented,federation_iss,federation_metadata_types,federation_authority_hints
google,https://accounts.google.com,NOT SUPPORTED,high,no federation entity configuration and no federation fields in discovery,404,False,,200,True,,404,False,,,
microsoft,https://login.microsoftonline.com/common/v2.0,NOT SUPPORTED,high,no federation entity configuration and no federation fields in discovery,404,False,,200,True,,404,False,,,
azure,https://login.microsoftonline.com/common/v2.0,NOT SUPPORTED,high,no federation entity configuration and no federation fields in discovery,404,False,,200,True,,404,False,,,
azuread,https://login.microsoftonline.com/common/v2.0,NOT SUPPORTED,high,no federation entity configuration and no federation fields in discovery,404,False,,200,True,,404,False,,,
apple,https://appleid.apple.com,NOT SUPPORTED,high,no federation entity configuration and no federation fields in discovery,404,False,,200,True,,404,False,,,
salesforce,https://login.salesforce.com,NOT SUPPORTED,high,no federation entity configuration and no federation fields in discovery,404,False,,200,True,,404,False,,,
paypal,https://www.paypal.com,NOT SUPPORTED,high,no federation entity configuration and no federation fields in discovery,404,False,,200,True,,404,False,,,
yahoo,https://api.login.yahoo.com,NOT SUPPORTED,high,no federation entity configuration and no federation fields in discovery,404,False,,200,True,,404,False,,,
facebook,https://www.facebook.com,NOT SUPPORTED,high,no federation entity configuration and no federation fields in discovery,404,False,,200,True,,404,False,,,
linkedin,https://www.linkedin.com/oauth,NOT SUPPORTED,high,no federation entity configuration and no federation fields in discovery,404,False,,200,True,,404,False,,,
spotify,https://accounts.spotify.com,NOT SUPPORTED,high,no federation entity configuration and no federation fields in discovery,404,False,,200,True,,404,False,,,
twitch,https://id.twitch.tv/oauth2,NOT SUPPORTED,high,no federation entity configuration and no federation fields in discovery,404,False,,200,True,,404,False,,,
line,https://access.line.me,NOT SUPPORTED,high,no federation entity configuration and no federation fields in discovery,404,False,,200,True,,404,False,,,
kakao,https://kauth.kakao.com,NOT SUPPORTED,high,no federation entity configuration and no federation fields in discovery,404,False,,200,True,,404,False,,,
adobe,https://ims-na1.adobelogin.com,NOT SUPPORTED,high,no federation entity configuration and no federation fields in discovery,404,False,,200,True,,404,False,,,
atlassian,https://auth.atlassian.com,NOT SUPPORTED,high,no federation entity configuration and no federation fields in discovery,404,False,,200,True,,404,False,,,
slack,https://slack.com,NOT SUPPORTED,high,no federation entity configuration and no federation fields in discovery,404,False,,200,True,,404,False,,,
dropbox,https://www.dropbox.com,NOT SUPPORTED,high,no federation entity configuration and no federation fields in discovery,404,False,,200,True,,404,False,,,
firefox,https://accounts.firefox.com,NOT SUPPORTED,high,no federation entity configuration and no federation fields in discovery,404,False,,200,True,,404,False,,,
duende,https://demo.duendesoftware.com,NOT SUPPORTED,high,no federation entity configuration and no federation fields in discovery,404,False,,200,True,,404,False,,,
github,https://token.actions.githubusercontent.com,NOT SUPPORTED,high,no federation entity configuration and no federation fields in discovery,404,False,,200,True,,404,False,,,
gitlab,https://gitlab.com,NOT SUPPORTED,high,no federation entity configuration and no federation fields in discovery,200,True,https://gitlab.com/,200,True,,403,False,,,
okta,https://login.okta.com,NOT SUPPORTED,high,no federation entity configuration and no federation fields in discovery,200,False,,200,True,,200,False,,,
zoom,https://zoom.us,NOT SUPPORTED,low,reachable but no valid OIDC discovery and no federation entity configuration,404,False,,404,False,,404,False,,,
hellocoop,https://issuer.hello.coop,NOT SUPPORTED,high,no federation entity configuration and no federation fields in discovery,403,False,,200,True,,403,False,,,
spid,https://registry.spid.gov.it,SUPPORTED,high,serves a valid self-issued entity configuration at /.well-known/openid-federation,405,False,,405,False,,200,True,https://registry.spid.gov.it,federation_entity,
cie,https://oidc.registry.servizicie.interno.gov.it,SUPPORTED,high,serves a valid self-issued entity configuration at /.well-known/openid-federation,500,False,,500,False,,200,True,https://oidc.registry.servizicie.interno.gov.it,federation_entity,
posteid,https://posteid.poste.it,SUPPORTED,high,serves a valid self-issued entity configuration at /.well-known/openid-federation,404,False,,200,True,,200,True,https://posteid.poste.it,openid_provider|federation_entity,https://registry.spid.gov.it
cie_idp,https://oidc.idserver.servizicie.interno.gov.it,SUPPORTED,high,serves a valid self-issued entity configuration at /.well-known/openid-federation,404,False,,404,False,,200,True,https://oidc.idserver.servizicie.interno.gov.it,openid_provider|federation_entity,https://oidc.registry.servizicie.interno.gov.it
gematik_fedmaster,https://app.ti-dienste.de,UNREACHABLE,n/a,"could not reach discovery or federation endpoints ([Errno 8] nodename nor servname provided, or not known)",0,False,,0,False,,0,False,,,
gematik_idp_dev,https://gsi.dev.gematik.solutions,NOT SUPPORTED,low,reachable but no valid OIDC discovery and no federation entity configuration,403,False,,403,False,,403,False,,,
geant_oidcfed_ta,https://ta.oidcfed.incubator.geant.org,UNREACHABLE,n/a,could not reach discovery or federation endpoints (timeout),0,False,,0,False,,0,False,,,
swamid_oidc,https://oidc.swamid.se,UNREACHABLE,n/a,"could not reach discovery or federation endpoints ([Errno 8] nodename nor servname provided, or not known)",0,False,,0,False,,0,False,,,
eduid_se,https://login.idp.eduid.se,NOT SUPPORTED,low,reachable but no valid OIDC discovery and no federation entity configuration,404,False,,404,False,,404,False,,,
eudi_ta,https://trust-anchor.eudiw.dev,UNREACHABLE,n/a,"could not reach discovery or federation endpoints ([Errno 8] nodename nor servname provided, or not known)",0,False,,0,False,,0,False,,,
